"","K","P","C","O","Fa","G","S","C7D_1_B","C7D_2_T","C7D_2_B","C7D_3_B","C7D_4_B","C7D_5_T","C8D_1_T","C8D_2_B","C8D_2_T","A4D_1_B","A4D_1_T","A4D_2_B","A4D_2_T","A4D_3_B","A4D_3_T","A4D_4_B","A4D_4_T","A4D_5_B","A4D_5_T","A4L_1_NA","A4L_3_NA","A4L_5_NA","A4S_NA_NA","A5D_1_T","A5D_2_T","A5D_3_T","A5D_4_B","A5D_4_T","A5D_5_B","A5D_5_T","A5L_2_NA","A5L_3_NA","A5L_4_NA","A5L_5_NA","A5S_NA_NA","A2D_1_B","A2D_1_T","A2D_2_B","A2D_3_B","A2D_3_T","A2D_4_B","A2D_4_T","A2D_5_B","A2D_5_T","A2L_1_NA","A2L_2_NA","A2L_3_NA","A2L_4_NA","A2L_5_NA","A2S_NA_NA","C4D_1_B","C4D_1_T","C4D_2_B","C4D_2_T","C4D_3_B","C4D_3_T","C4D_4_B","C4D_4_T","C4D_5_B","C4D_5_T","C4L_1_NA","C4L_2_NA","C4L_4_NA","C4S_NA_NA","A6D_1_B","A6D_1_T","A6D_2_B","A6D_2_T","A6D_3_B","A6D_3_T","A6D_4_B","A6D_4_T","A6D_5_B","A6D_5_T","A6L_1_NA","A6L_2_NA","A6L_5_NA","A6S_NA_NA","C5D_1_B","C5D_1_T","C5D_2_B","C5D_2_T","C5D_3_B","C5D_4_B","C5D_4_T","C5D_5_B","C5L_3_NA","C5L_4_NA","C5L_5_NA","C5S_NA_NA","GOD_5_B","GOD_5_T","GOL_1_NA","GOL_2_NA","GOL_3_NA","GOL_4_NA","GOL_5_NA","GOS_NA_NA","GMD_1_B","GMD_1_T","GMD_2_B","GMD_4_B","GMD_4_T","GMD_5_B","GMD_5_T","GML_1_NA","GML_3_NA","GML_4_NA","GML_5_NA","GMS_NA_NA","ROD_1_B","ROD_1_T","ROD_2_B","ROD_3_B","ROD_4_B","ROD_4_T","ROD_5_B","ROD_5_T","ROL_2_NA","ROL_4_NA","ROL_5_NA","RMD_2_B","RMD_2_T","RMD_3_B","RMD_4_B","RMD_4_T","RMD_5_B","RMD_5_T","RML_1_NA","RML_2_NA","RML_3_NA","RML_5_NA","C7D_5_B","C8D_1_B","A4L_2_NA","A4L_4_NA","A5D_1_B","A5L_1_NA","C4L_3_NA","C4L_5_NA","A6L_3_NA","A6L_4_NA","C5D_3_T","C5L_1_NA","C5D_5_T"
"8781","Fungi","Basidiomycota","Agaricomycetes","Russulales","Xenasmataceae","Xenasmatella","Xenasmatella_sp","86","1","1","12","1","6","1","2","20","1","5","1","9","1","1","890","3","1","3","1","3","3","1","5","1","148","1","2","19","1","1","2","1","1","1","1","1","24","1","7","2","2","5","1","9","5","1","2","2","2","47","1","2","2","3","1","1","1","1","2","1","1","30","4","1","4","11","1","6","34","1","2","8","5","1","36","1","7","1","1","2","17","1","3","2","1","1","1","83","10","3","3","2","9","17","1","1","1","3","1","17","1","6","9","3","1","1","1","14","2","1","1","1","1","2","30","1","1","1","1","3","3","1","1","2","87","1","8","3","1","1","1","3","1","3","1","4","1","1","2","1","1","11","1","4"
"8784","Fungi","Basidiomycota","Agaricomycetes","Russulales","Xenasmataceae","Xenasmatella","Xenasmatella_vaga","0","33","3","5","0","3","2","4","1","0","11","7","1","11","1","1","1","1","1","8","7","1","0","1","1","24","2","1","6","1","1","3","2","1","1","1","22","1","2","1","1","2","0","1","37","10","1","2","2","1","0","4","1","58","0","1","1","1","0","109","3","13","10","1","0","3","1","1","5","2","2","0","1","1","3","2","1","6","1","2","3","1","4","25","2","4","2","3","3891","3","54","0","1","1","0","0","2","1","0","1","1","0","14","0","2","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","528","1351","0","0","0","41","0","14","3","0","1","0","0","0","0","0","0","2"
"8785","Fungi","Basidiomycota","Agaricomycetes","Russulales","Xenasmataceae","Xenasmatella","Xenasmatella_xinpingensis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","32","0","0","8","0","0","0","0","0","0","0","0","4","0","122","0","0","0","0","0","1","0","0","0","0","103","0","0","0","1","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","155","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8790","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Sebacina_sp","0","0","311","71","4","7","1","2","0","0","0","20","1","1277","0","1","0","0","0","0","10","3","0","7","0","1","0","0","0","3","0","12","1","0","0","1","1339","0","3","4","1","7","1","1","30","0","0","0","2","0","1","0","0","0","2","0","0","0","0","10","2","0","7","0","0","8","6","1","0","7","0","1","90","1","224","1","7","13","18","1","4","1","1","3","1","1","2","1","57565","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","22","1","0","0","0","0","0","0","0","0","0","0"
"8794","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Serendipita_sp","66","5","1","28","3","1","3","2","4","17","7","13","1","512","1","3","2","2","1","146","1","10","35","1","3","59","8","14","1","1","1","2","1","3","2","2","7","1","4","993","2","1","1","65","1","2","2","1","1","5","3","5","44","1","25","1622","1","3","16","2","16","5","15","6","1","1","43","26","26","1","3","1","1","11","1","7","6","1","5","13","5","14","5","1","1","7","201","524","1","1","1","1","5","2","0","0","0","1","9","1","6","0","0","2","2","0","0","0","0","3","1","4","0","0","1","1","0","0","0","0","0","0","4","438","0","13","0","1","1","0","0","0","1","1","1","1","0","1","0","3","13","1","5","16","1"
"8800","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Hydnellum","Hydnellum_caeruleum","6","47","1","1","0","47","32","0","202","0","2","11","0","18","0","4","5","0","1","0","0","0","0","26","0","21","0","0","0","1","1","0","0","0","0","0","0","2","1","1","0","0","5","0","2","1","7","0","0","7","9","4","0","0","0","131","0","9","2","1","45","0","0","0","0","0","1","3","6","1","0","9","1","0","0","2","0","1","1","0","1","8","0","6","1","0","6","191","2","0","1","0","1","0","0","0","0","0","0","12","1","0","0","1","39","0","0","0","0","0","0","0","0","0","0","1","1","0","15","0","0","0","0","0","0","3","0","0","0","24","0","0","0","0","0","158","1","1","0","0","0","0","0","2","0"
"8801","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Hydnellum","Hydnellum_complicatum","0","1","0","9","0","13","0","0","44","1","0","5","0","0","0","1","0","0","0","1","0","0","0","0","0","22","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","504","4","0","0","1","0","0","0","0","8","0","74","0","0","1","2","546","0","0","0","0","0","8","0","1","1","0","1","0","0","0","0","4","0","0","0","0","184","0","3","0","0","0","0","0","0","0","0","6","21","0","0","0","0","0","0","0","0","0","23","0","22","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","5","1","1","1","1","0","0","0","0","0","0","2","0"
"8805","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Hydnellum","Hydnellum_gracilipes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","7","0","0","0","1","9","2","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8806","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Hydnellum","Hydnellum_illudens","0","4","0","0","0","0","0","0","1","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","104","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","6","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","0","0","0","0","1","0","0","0","0","0","0","25","0","29","0","0","0","0","0","0","0","0","0","0","0","0","37","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","1","3"
"8807","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Hydnellum","Hydnellum_lepidum","1","4","113","1","2","0","1","3","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","7","0","0","0","0","1","0","1","0","0","0","1","5","0","1","71","1","2","0","1","0","8","1","1","0","232","0","0","1","0","1","9","2","0","0","11","1","1","53","1","0","1","0","3","289","0","0","0","0","0","0","0","1","0","502","13","0","0","3","1","1","0","0","0","0","2","6","9","0","0","0","0","0","0","1","1","1","7","1","0","0","0","0","0","5","0","0","0","0","0","2","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","3","1","15","2","0","0","0","0","0","1","8"
"8810","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae","Hydnellum","Hydnellum_sp","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","2","6","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8828","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Polyozellus","Polyozellus_multiplex","9","21","2","49","0","0","0","0","5","16","11","0","0","1","1","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","17","2","0","0","0","4","0","1","5","1","0","7","75","0","1","0","0","14","0","0","25","0","0","1","1","1","1","0","0","0","0","0","23","4","1","0","115","0","0","0","0","0","0","0","0","0","33","0","1","0","0","0","0","0","0","114","6","159","0","1","0","0","0","11","0","0","0","0","0","0","0","1","0","1","0","0","0","3","0","0","5","5","0","0","0","0","0","0","0","2"
"8829","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Polyozellus","Polyozellus_rhizopunctatus","0","48","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","27","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8830","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Polyozellus","Polyozellus_tristis","42","8","0","18","0","2","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","1","3","1","0","10","0","0","0","0","0","0","0","3","0","0","0","0","6","9","0","0","0","1","0","6","0","1","0","5","0","1","0","0","0","1","0","0","0","1","12","7","0","0","2","0","0","0","2","60","2","0","4","0","0","0","1","1","0","4","0","1","18","0","0","0","73","109","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104","0","0","0","0","54","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8831","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Polyozellus","Polyozellus_umbrinus","33","0","0","32","1","0","1","0","491","1","0","0","0","0","0","0","0","0","0","1","19","0","0","0","0","0","0","0","0","55","11","0","1","0","10","0","5","0","0","0","0","0","0","2","0","0","4","0","4","0","0","0","0","71","0","0","0","0","1","1","0","0","1","26","0","3","5","7","0","0","10","0","0","3","0","0","0","0","9","1","0","0","1","55","0","0","0","17","20","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8832","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Pseudotomentella","Pseudotomentella_sp","378","67","1","2","1","1","1","33","3105","1","1","56","1","1","1","1","43","3","1","1","10","1","1","21","4","1","1","1","1","7","18","1","11","2","1","2","29","2","3","827","1","29","1","6","1","2","4","5","1","1","2","2","6","4","3","16","4","1","6","1","49","1","2","1","1","1","1","40","1","1","3","4","2","406","57","1","1","1","14","4","58","1","1","150","34","5","82","43","1","1","52","1","58","1","0","0","0","11","0","6","1","0","0","4","0","0","0","0","4","1","1","0","0","0","0","1","1","0","2","0","0","0","0","0","0","49","0","17","2","0","0","0","3","7","5","0","0","0","0","0","0","0","0","0","2"
"8834","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Thelephora_sp","2","1","1","1","0","0","0","0","0","0","0","20","0","17","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","9","0","4","0","0","0","0","1","0","0","13","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","17","0","0","0","0","1","6","0","0","0","0","3","0","0","0","0","1","0","0","0","1","1","0","0","1","2","0","0","0","0","0","0","365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"8835","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Thelephora_terrestris","7","0","1","5","0","0","2","0","17","1","0","16","0","4","0","0","0","0","0","0","0","0","0","0","0","22","0","5","0","34","0","0","0","3","1","2","0","0","0","833","0","0","1","0","2","0","0","0","1","7","7","20","31","0","0","0","0","0","0","0","1","0","12","0","0","0","1","10","6","0","0","0","0","18","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","98","0","0","0","0","0","0","0","0","3","1","0","0","0","42","1","3","0","2","19","0","0","0","0","0","0","0"
"8841","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_sp","10","341","4","8","2","0","0","3","12217","0","196","5","0","1","2","0","0","52","0","4","0","0","0","2","0","1","0","0","0","0","0","0","1","1","1","9","0","0","0","8","50","0","7","10","1","0","0","0","6","0","2","0","0","0","0","1","0","4","0","2","1","3","0","0","9","1","0","1","0","4","0","0","9","41","11","69","0","0","0","1","0","2","1","0","0","0","1","0","7","1","35","0","0","0","0","0","3","0","0","0","0","0","0","1","4","0","0","0","1","1","0","0","1","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","17","4","0","0","2","2","43","1","1","0","0","0","0","4","0","0","0"
"8844","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis","Tomentellopsis_sp","0","247","2","1","5","0","0","1","0","1","0","0","0","13","0","1","3","0","19","45","0","0","4","7","1","0","0","0","1","9","1201","0","2","0","11","1","1","0","0","6","0","4","0","0","0","7","1","0","1","1","2","0","0","0","1","1","0","0","0","4","10","0","1","0","0","1","0","19","0","1","1","0","1","1","0","1","7","2","0","59","4","0","0","2","17","1","0","11","3","0","0","0","0","0","0","0","0","1","0","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9525","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"8845","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis","Tomentellopsis_submollis","0","0","11","0","0","0","1","0","0","0","1","0","0","4","0","0","0","2","0","1","0","0","3","0","0","0","1","1","1","0","0","0","0","0","0","0","9","1","0","0","0","2","0","16","0","18","0","0","1","0","29","0","0","1","0","0","0","0","0","0","0","1095","1","0","0","0","0","2","1","1","0","0","0","1","0","0","0","1","0","0","0","0","14","0","0","2","0","1","2","0","0","0","0","1","0","0","0","8","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","23","0","0","0","0","0","0","0","0","0","0"
"8851","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Luellia","Luellia_cystidiata","0","0","0","95","0","0","2","5","0","1","0","0","0","0","0","1","6","0","0","1","8","2","0","0","0","0","0","0","39","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","9","0","0","7","0","0","0","2","0","0","0","0","0","0","0","6","0","0","0","0","0","1","7","0","1","0","0","144","0","0","0","0","4","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8852","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Luellia","Luellia_recondita","2","1","1","3","4","3","3","5","47","1","2","1","2","36","29","4","1","3","1","50","4","15","2","1","1","1","1","4","3","1","1","1","5","4","3","1","1","0","52","9","1","1","1","2","1","51","3","6","1","2","4","4","3","1","1","1","1","15","5","9","8","2","1","2","1","1","2","8","1","1","1","2","3","3","22","4","1","9","1","9","3","5","2","11","5","1","1","31","1","1","3","0","249","5","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","11","0","0","0","0","1","582","0","0","0","0","0","0","0","0","0","0"
"8853","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Luellia","Luellia_sp","10","1","18","4","1","1","6","2","1","2","218","1","4","4","2","1","1","1","1","0","7","1","1","2","2","254","2","1","1","1","1","2","1","1","14","21","1","0","4","1497","9","4","1","2","15","2","23","4","9","1","35","56","1","8","5","3","1","0","1","1","1","2","1","1","1","1","3","32","1","8","4","11","41","7","37","1","1","8","1","27","24","2","1","17","89","1","2","63","1","11","1","1","34","1","0","0","0","1","2","0","85","6","1","6","1","0","0","0","1","6","15","8","1","0","1","0","0","0","0","0","0","0","0","0","1","0","2","15","13","0","0","0","0","2","3","2","1","0","0","3","0","0","0","0","2"
"8858","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Sistotremastrum","Sistotremastrum_sp","0","0","3","0","0","0","0","2","0","0","0","0","0","337","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8860","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Subulicystidium","Subulicystidium_longisporum","7","6306","11","15","0","0","0","0","2","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","91","0","0","0","0","0","0","70","0","0","8","1","0","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","389","1","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8862","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_byssinella","0","0","0","0","0","0","0","1","1","0","0","24","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","118","0","25","140","0","0","0","0","0","16","10","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","412","2","0","0","21","2","2","0","0","1","0","0","0","0","0","3","0","4","5","0","0","48","1","3","1","0","0","0","0","140","0","0","0","0","5","1","1","0","0","0","1","1","0","0","0","0","0","1","62","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","2"
"8863","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_caucasica","0","0","9","0","4","0","0","37","3","0","0","0","1","962","0","0","0","0","15","21","5","0","0","0","1","0","0","1","80","10","1","5","5","0","0","6","4","26","2","0","1","0","0","5","0","1","4","0","19","2","1","0","0","2","1","0","1","110","0","0","0","0","0","0","1","1","0","0","0","1","0","0","17","41","0","1","7","5","1","0","1","4","1","0","1","2","2","871","18","0","7","0","2","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"8865","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_farinacea","201","2","9","6","1","12","3","1","1","133","144","5","1","13","1","1","2","2","1","2","1","1","2","6","1","34","4","1","1","1","16","1","28","2","11","1","3","17","2","285","54","1","4","1","3","5","4","41","82","1","2","2","2","47","1","4","68","2","20","6","1854","1","2","2","58","5","1","295","2","1","1","94","27","1","3","1","9","1","7","2","48","1","2","1","1","1","3","1","5","1","1","13","24","1","8","1","2","1","1","1","2","47","1","1","4","2","2","1","9","1","7","1","1","1","1","4","66","1","2","6","2","1","1","1","2","6","32","1","3","5","2","1","1","41","2","3","9","3","1","1","3","44","1","4","1"
"8866","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_hymenocystis","52","28","2","1182","1","8","5","1","3","1","38","16","1","168","2","73","2","1","1","4","15","2","20","1","1","4","1","1","2","3","1","1","1","1","11","3","1","6","1","287","12","0","2","1","9","20","2","11","1","2","5","10","7","19","2","118","2","3","5","1","1","1","6","0","1","1","1","38","2","1","3","2","349","10","129","2","10","24","14","13","9","1","2","3","3","2","1","1","37","1","1","9","1","1","0","0","0","3","4","1","3","0","1","1","1","1","0","0","0","2","1","14","1","0","0","4","0","0","1","0","0","0","0","0","0","6","3","10","7","3","1","0","3","0","48","3","0","0","0","0","2","0","0","516","0"
"8867","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_laevis","49","43","1","1","1","2","3","1","1","2","1","8","1","2","1","2","25","1","114","3","7","1","2","1","1","1","1","1","1","1","2","98","21","1","1","15","1","1","1","1","2","3","1","1","238","1","4","2","1","1","1","1","2","2","4","1","10","1","1","1","16","1","9","1","1","1","24","42","3","6","3","3","10","5","4","1","30","4","40","1","1","1","342","4","2","18","2","49","3","16","2","3","2","2","0","0","0","0","0","11","11","0","0","0","0","0","0","0","3","0","4","0","0","0","0","3","0","0","1","0","0","0","0","244","0","0","0","49","1787","0","4","0","10","1","19","1","1","0","0","0","0","0","0","4","0"
"8873","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_sp","422","8","1","1","1","2","1","3","6","4","13","196","2","2","2","63","8","1","1","1","1","4","20","1","1","43","2","1","1","4","1","12","5","4","1","1","12","2","4","1","3","1","5","4","76","113","2","1","1","1","2","2","1","2","76","20","42","14","1","14","1","3","2","2","7","1","19","41","3","6","1","20","12","1","1","17","1","1","2","51","139","2","1","7","6","13","1","38","1","3","11","25","1","4","2","1","1","5","25","18","36","1","1","2","1","2","6","2","14","2","1","1","1","1","1","1","2","1","2","23","1","2","2","2","1","7","1","3","20","1","10","2","2","6","4","3","6","5","1","1","2","8","1","16","1"
"8874","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_stellulata","0","0","0","0","0","0","0","0","7","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","182","0","0","0","0","0","0","36","0","0","0","0","0","0","0","0","0","0","268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","516","0","0","0"
"8875","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_stevensonii","58","1","1","1","1","2","2","2","9","1","2","1","27","9","2","2","1","0","1","1","0","0","101","12","15","27","1","2","2","1","8","0","1","48","1","2","1","1","2","1","3","1","39","1","7","3","2","1","1","1","1","1","1","1","4","6","9","4","1","15","5","20","3","6","54","65","1","18","2","0","1","14","24","1","0","1","1","1","2","1","3","1","1","5","2","1","5","16","1","0","485","24","1","0","0","0","0","6","3","1","0","0","0","282","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","315","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0"
"8876","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Trechispora","Trechispora_subsphaerospora","0","0","0","1","0","0","1","1","3","0","0","594","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","6","0","0","0","10","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","85","1","5","4","0","0","9","0","0","222","7","0","0","0","0","0","1","0","0","0","0","12","3","1","1","10","53","9","4","5","35","1","19","51","1","2","2","3","1","2","2","2","1","4","15","1","4","4","13","1","1","1","4","1","10","63","116","3","6","5","2","1","10","1","1","3","4","16","1","133","7","92"
"8881","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Trechisporales_fam_Incertae_sedis","Sertulicium","Sertulicium_lateclavigerum","15","2","28","1","68","22","25","1","1","1","13","819","7","5","14","4","1","2","1","1","1","2","2","1","5","1","18","23","2","1","5","5","1","1","1","2","17","1","1","1","5","3","7","1","36","4","1","12","1","63","5","5","1","5","8","4","1","2","2","2","1","3","5","1","8","9","83","2","64","10","2","57","20","15","1","1","2","1","1","3","2","1","1","5","1","1","1","1","319","2","1","8","5","1","0","0","9","238","0","0","0","0","7","1","0","3","0","0","0","1","1","2","1","1","1","2","30","2","0","0","0","0","0","2","6","1","4","159","24","2","0","0","42","42","0","2","33","0","0","1","0","4","0","1","286"
